,date,order_id,category,product_name,quantity,unit_price,sales,region
854,2025-02-06T11:45:30.990,231-6268740-8948739,Electronics,Bose QuietComfort Earbuds,1,1375.71,1534.8865922783282,Amazon.co.uk (UK)
10,2025-02-06T14:45:30.990,488-4094844-3274334,Electronics,Echo Dot (4th Gen),1,316.52,374.842853832599,Amazon.de (Germany)
888,2025-02-06T18:45:30.990,534-3913098-0676607,Clothing,Amazon Essentials T-Shirt,2,114.1,273.27853557005824,Amazon.com (US)
566,2025-02-06T21:45:30.990,768-0286327-0728969,Sports,Coleman Camping Tent,1,99.97,99.97,Amazon.com (US)
738,2025-02-07T03:45:30.990,946-7596110-3397987,Home & Kitchen,Ninja Air Fryer,1,158.52,158.52,Amazon.ca (Canada)
370,2025-02-07T07:45:30.990,580-7260679-1108881,Clothing,Adidas Running Shoes,5,101.92,509.61,Amazon.de (Germany)
906,2025-02-07T09:45:30.990,180-5507638-2217580,Electronics,Ring Video Doorbell,3,229.45,793.9117407515769,Amazon.de (Germany)
660,2025-02-07T10:45:30.990,032-8433786-1944773,Clothing,Columbia Fleece Jacket,1,46.37,52.76007875322249,Amazon.com.au (Australia)
267,2025-02-07T12:45:30.990,221-9826943-7711453,Beauty,The Ordinary Serum,1,22.23,25.69779948877182,Amazon.de (Germany)
513,2025-02-07T15:45:30.990,332-6891184-3738260,Clothing,Columbia Fleece Jacket,2,166.59,361.0941752475051,Amazon.co.uk (UK)
192,2025-02-07T15:45:30.990,240-8415795-4399873,Home & Kitchen,Ninja Air Fryer,2,25.53,53.85206465863447,Amazon.de (Germany)
479,2025-02-07T18:45:30.990,015-9321994-9539043,Clothing,Columbia Fleece Jacket,4,97.33,416.6445558998852,Amazon.de (Germany)
87,2025-02-07T18:45:30.990,024-4347132-5707730,Books,The Body Keeps the Score,1,9.18,9.699424258683761,Amazon.com (US)
766,2025-02-08T00:45:30.990,687-8287812-9601810,Electronics,Fire TV Stick 4K,2,1314.82,3298.209784953973,Amazon.de (Germany)
900,2025-02-08T04:45:30.990,913-3785205-4774333,Clothing,Amazon Essentials T-Shirt,2,167.57,426.6891867880642,Amazon.ca (Canada)
444,2025-02-08T14:45:30.990,513-9756092-1736242,Electronics,Bose QuietComfort Earbuds,2,554.45,1451.4230094166253,Amazon.com (US)
121,2025-02-08T18:45:30.990,235-2967599-6250298,Home & Kitchen,Keurig K-Slim Coffee Maker,4,158.66,822.837425155637,Amazon.com (US)
399,2025-02-08T20:45:30.990,780-2735456-0537294,Beauty,CeraVe Moisturizer,1,146.14,171.22402613745254,Amazon.co.uk (UK)
875,2025-02-08T22:45:30.990,448-2407638-3774926,Beauty,The Ordinary Serum,1,10.47,12.022165639663632,Amazon.ca (Canada)
610,2025-02-09T00:45:30.990,615-5341149-0342760,Electronics,Bose QuietComfort Earbuds,2,983.99,2466.3922171761146,Amazon.de (Germany)
118,2025-02-09T04:45:30.990,277-1570258-6107887,Electronics,Ring Video Doorbell,1,192.39,224.4692704990951,Amazon.com (US)
954,2025-02-09T05:45:30.990,857-2908259-4126446,Home & Kitchen,Instant Pot Duo,2,129.66,305.140864941232,Amazon.ca (Canada)
447,2025-02-09T05:45:30.990,370-8666709-9137191,Beauty,Neutrogena Sunscreen,1,39.14,43.349777117630985,Amazon.com (US)
554,2025-02-09T06:45:30.990,866-8716955-6051008,Clothing,Levi's 501 Original Jeans,1,65.28,79.19624162820857,Amazon.com (US)
1,2025-02-09T08:45:30.990,263-0090588-4108191,Electronics,Fire TV Stick 4K,1,1133.38,1452.0313262743075,Amazon.de (Germany)
748,2025-02-09T12:45:30.990,327-8913325-4184623,Electronics,Fire TV Stick 4K,1,141.21,183.87091970185847,Amazon.de (Germany)
543,2025-02-09T16:45:30.990,382-8783792-0356305,Home & Kitchen,Instant Pot Duo,3,146.45,585.3982645752495,Amazon.com (US)
325,2025-02-09T19:45:30.990,042-3145190-8276191,Sports,Hydro Flask Water Bottle,1,202.82,262.17813368262017,Amazon.co.uk (UK)
992,2025-02-09T23:45:30.990,180-5793997-8121062,Sports,Hydro Flask Water Bottle,2,48.69,115.84367108916376,Amazon.com (US)
667,2025-02-09T23:45:30.990,028-5067801-3501056,Beauty,Neutrogena Sunscreen,3,79.73,299.1304662735947,Amazon.co.uk (UK)
233,2025-02-09T23:45:30.990,458-1018394-7163008,Beauty,Olaplex Hair Perfector,1,78.55,87.74676726491786,Amazon.co.uk (UK)
477,2025-02-10T00:45:30.990,017-8127401-3725514,Clothing,Adidas Running Shoes,1,167.68,167.68,Amazon.co.uk (UK)
654,2025-02-10T01:45:30.990,417-8071420-7341707,Electronics,Fire TV Stick 4K,1,705.99,705.99,Amazon.de (Germany)
805,2025-02-10T05:45:30.990,522-6874136-7163844,Books,Where the Crawdads Sing,2,19.25,38.5,Amazon.co.uk (UK)
930,2025-02-10T05:45:30.990,395-7876368-2646872,Clothing,Under Armour Hoodie,2,18.39,36.78,Amazon.de (Germany)
552,2025-02-10T05:45:30.990,001-8980210-2423895,Sports,Bowflex Adjustable Dumbbells,1,164.81,164.81,Amazon.ca (Canada)
421,2025-02-10T07:45:30.990,350-1520540-5156137,Books,It Ends with Us,2,41.29,82.59,Amazon.com (US)
699,2025-02-10T10:45:30.990,913-9106220-4431065,Electronics,Echo Dot (4th Gen),1,1366.96,1447.8601084523907,Amazon.de (Germany)
239,2025-02-10T13:45:30.990,016-8124949-9756108,Clothing,Levi's 501 Original Jeans,1,55.51,60.077727671401185,Amazon.de (Germany)
866,2025-02-10T20:45:30.990,658-2564013-8313814,Beauty,CeraVe Moisturizer,1,94.21,94.21,Amazon.co.uk (UK)
619,2025-02-11T00:45:30.990,335-3589070-0453266,Electronics,Ring Video Doorbell,1,446.03,446.03,Amazon.de (Germany)
438,2025-02-11T04:45:30.990,504-0398797-4958694,Clothing,Amazon Essentials T-Shirt,2,96.19,192.38,Amazon.com (US)
846,2025-02-11T10:45:30.990,549-8238907-1181380,Electronics,Echo Dot (4th Gen),1,416.54,465.3839703145165,Amazon.com (US)
153,2025-02-11T12:45:30.990,893-8628602-5563026,Clothing,Amazon Essentials T-Shirt,2,123.11,285.2104207574021,Amazon.co.uk (UK)
319,2025-02-11T19:45:30.990,656-5505891-5359684,Beauty,Revlon One-Step Hair Dryer,1,49.92,56.36450398657025,Amazon.com (US)
704,2025-02-11T22:45:30.990,306-7457377-1939427,Sports,Fitbit Charge 5,2,35.26,70.53,Amazon.co.jp (Japan)
496,2025-02-12T00:45:30.990,607-5755798-4172282,Books,The Body Keeps the Score,1,16.64,16.64,Amazon.com (US)
470,2025-02-12T01:45:30.990,122-2624689-0031082,Books,Where the Crawdads Sing,1,28.34,28.34,Amazon.co.uk (UK)
290,2025-02-12T03:45:30.990,691-8413996-5594850,Home & Kitchen,Keurig K-Slim Coffee Maker,2,253.48,506.97,Amazon.de (Germany)
734,2025-02-12T04:45:30.990,388-3600257-7724542,Clothing,Amazon Essentials T-Shirt,4,47.1,188.42,Amazon.co.uk (UK)
829,2025-02-12T05:45:30.990,668-9469619-6996833,Books,The Body Keeps the Score,3,9.17,27.5,Amazon.de (Germany)
12,2025-02-12T06:45:30.990,812-2226085-0451297,Home & Kitchen,Ninja Air Fryer,2,107.34,214.67,Amazon.com (US)
376,2025-02-12T06:45:30.990,869-8403333-1959580,Beauty,Neutrogena Sunscreen,1,21.06,21.06,Amazon.de (Germany)
976,2025-02-12T08:45:30.990,466-8789452-7059455,Clothing,Levi's 501 Original Jeans,2,31.59,63.19,Amazon.com (US)
777,2025-02-12T12:45:30.990,527-9114277-7892537,Sports,Coleman Camping Tent,3,115.82,373.6094609067609,Amazon.co.uk (UK)
891,2025-02-12T19:45:30.990,285-3306164-8797614,Clothing,Levi's 501 Original Jeans,3,33.89,107.43275219427862,Amazon.co.jp (Japan)
189,2025-02-12T19:45:30.990,699-5729897-9223141,Beauty,CeraVe Moisturizer,1,133.35,145.9696582556074,Amazon.com (US)
681,2025-02-12T22:45:30.990,696-8835439-1772167,Clothing,Under Armour Hoodie,4,45.14,180.57,Amazon.de (Germany)
451,2025-02-13T00:45:30.990,484-1626947-0251897,Electronics,Ring Video Doorbell,2,200.34,400.69,Amazon.com (US)
720,2025-02-13T07:45:30.990,779-1120767-9693495,Home & Kitchen,iRobot Roomba,1,54.33,54.33,Amazon.com (US)
392,2025-02-13T08:45:30.990,921-7994472-5771043,Clothing,Adidas Running Shoes,2,45.3,90.61,Amazon.co.jp (Japan)
590,2025-02-13T09:45:30.990,174-0668559-5557576,Home & Kitchen,Lodge Cast Iron Skillet,3,152.77,540.4240406069027,Amazon.com (US)
780,2025-02-13T12:45:30.990,224-2307846-6182170,Sports,Bowflex Adjustable Dumbbells,2,87.5,207.82375641036933,Amazon.com (US)
268,2025-02-13T13:45:30.990,332-5555079-4831101,Clothing,Adidas Running Shoes,2,152.45,363.15325940277813,Amazon.com (US)
95,2025-02-13T14:45:30.990,108-2145063-1361962,Clothing,Adidas Running Shoes,2,112.9,237.1036002961383,Amazon.co.uk (UK)
960,2025-02-13T15:45:30.990,170-1647281-3418614,Beauty,CeraVe Moisturizer,1,110.93,129.28512630874246,Amazon.com.au (Australia)
243,2025-02-13T18:45:30.990,252-8889408-8012475,Electronics,Kindle Paperwhite,4,1328.63,6331.311689682777,Amazon.com (US)
598,2025-02-14T02:45:30.990,390-4887857-7930828,Clothing,Amazon Essentials T-Shirt,2,29.92,59.83,Amazon.com (US)
39,2025-02-14T03:45:30.990,794-8469902-8361515,Clothing,Columbia Fleece Jacket,1,81.33,81.33,Amazon.com (US)
774,2025-02-14T04:45:30.990,881-7924277-4221457,Beauty,Revlon One-Step Hair Dryer,1,120.61,120.61,Amazon.co.uk (UK)
772,2025-02-14T08:45:30.990,272-5006921-1398601,Electronics,Kindle Paperwhite,1,972.9,972.9,Amazon.co.uk (UK)
762,2025-02-14T12:45:30.990,066-9477838-1565109,Home & Kitchen,Lodge Cast Iron Skillet,1,133.92,157.10104766440077,Amazon.de (Germany)
74,2025-02-14T13:45:30.990,698-9986971-4009376,Home & Kitchen,Instant Pot Duo,3,278.62,984.6509036751282,Amazon.co.uk (UK)
467,2025-02-14T13:45:30.990,698-5205879-1679750,Clothing,Under Armour Hoodie,1,158,166.4462159952366,Amazon.co.uk (UK)
312,2025-02-14T16:45:30.990,371-7528844-5609519,Sports,Hydro Flask Water Bottle,1,46.3,53.29722835962166,Amazon.com.au (Australia)
626,2025-02-14T17:45:30.990,212-3153473-7432590,Clothing,Amazon Essentials T-Shirt,1,63.93,68.20875317872303,Amazon.de (Germany)
44,2025-02-15T02:45:30.990,851-0070734-6172817,Books,The Psychology of Money,1,37.76,44.21707528986094,Amazon.com (US)
207,2025-02-15T03:45:30.990,201-3293884-2944666,Clothing,Columbia Fleece Jacket,1,159.97,205.35417784499725,Amazon.com (US)
981,2025-02-15T04:45:30.990,124-3520115-3411786,Beauty,Revlon One-Step Hair Dryer,1,68.11,80.99273162033889,Amazon.com (US)
673,2025-02-15T05:45:30.990,721-7457401-1589231,Clothing,Amazon Essentials T-Shirt,2,86.59,205.97240049356864,Amazon.co.jp (Japan)
420,2025-02-15T07:45:30.990,325-7733379-4603101,Books,The Body Keeps the Score,2,21.95,51.65772169304403,Amazon.co.uk (UK)
535,2025-02-15T09:45:30.990,336-1293561-3995866,Clothing,Amazon Essentials T-Shirt,1,97.92,143.39358075230686,Amazon.com (US)
212,2025-02-15T09:45:30.990,903-9891584-0566845,Books,Where the Crawdads Sing,2,39.65,103.01118952223881,Amazon.com (US)
786,2025-02-15T10:45:30.990,665-4614239-3790796,Clothing,Under Armour Hoodie,1,79.98,108.0978151871102,Amazon.de (Germany)
834,2025-02-15T16:45:30.990,062-7906496-2297476,Home & Kitchen,Ninja Air Fryer,4,227.68,1150.5484368263365,Amazon.de (Germany)
591,2025-02-15T18:45:30.990,468-8079378-1425166,Electronics,Ring Video Doorbell,1,230.16,275.1026134944281,Amazon.co.uk (UK)
329,2025-02-15T19:45:30.990,495-5767199-4066490,Electronics,Echo Dot (4th Gen),2,490.75,1268.231612610329,Amazon.co.uk (UK)
918,2025-02-15T19:45:30.990,931-0727481-1535348,Clothing,Levi's 501 Original Jeans,2,156.52,406.14147378127404,Amazon.com (US)
244,2025-02-15T19:45:30.990,059-7068032-9601816,Clothing,Levi's 501 Original Jeans,2,157.23,419.6300150039114,Amazon.de (Germany)
427,2025-02-15T23:45:30.990,630-4166530-8228834,Sports,Coleman Camping Tent,1,111.99,143.26289950837509,Amazon.com (US)
547,2025-02-16T02:45:30.990,287-2276962-0997233,Sports,Manduka Yoga Mat,1,208.62,231.50412163582124,Amazon.com (US)
664,2025-02-16T05:45:30.990,912-7410935-3570333,Home & Kitchen,iRobot Roomba,4,107.52,474.818790026914,Amazon.co.uk (UK)
36,2025-02-16T11:45:30.990,466-5912142-5463143,Books,Where the Crawdads Sing,1,10.74,14.335473457726211,Amazon.com.au (Australia)
276,2025-02-16T11:45:30.990,150-7612943-0749838,Beauty,Neutrogena Sunscreen,2,51.86,129.96071722732796,Amazon.com (US)
91,2025-02-16T12:45:30.990,187-4250687-8072194,Clothing,Levi's 501 Original Jeans,2,111.87,283.1185833696747,Amazon.de (Germany)
216,2025-02-16T12:45:30.990,124-3886405-9541217,Home & Kitchen,Lodge Cast Iron Skillet,4,213.58,1136.4213355291738,Amazon.com (US)
635,2025-02-16T13:45:30.990,110-0369440-4227295,Clothing,Amazon Essentials T-Shirt,1,26.07,32.115608243284306,Amazon.de (Germany)
224,2025-02-16T13:45:30.990,921-7614153-2655575,Home & Kitchen,Lodge Cast Iron Skillet,2,110.94,308.0556947633613,Amazon.co.uk (UK)
214,2025-02-16T17:45:30.990,248-3649714-3876805,Beauty,Olaplex Hair Perfector,1,27.95,36.61212580291185,Amazon.de (Germany)
247,2025-02-16T20:45:30.990,791-6979478-7317183,Electronics,Kindle Paperwhite,1,803.68,956.1945731094404,Amazon.co.uk (UK)
282,2025-02-16T23:45:30.990,500-9149831-4535445,Electronics,Echo Dot (4th Gen),2,993.42,2294.8873344524263,Amazon.com (US)
193,2025-02-17T02:45:30.990,337-1613496-8819637,Beauty,CeraVe Moisturizer,2,14.83,29.65,Amazon.ca (Canada)
156,2025-02-17T03:45:30.990,241-4944962-4975747,Clothing,Amazon Essentials T-Shirt,1,64.07,64.07,Amazon.co.uk (UK)
168,2025-02-17T03:45:30.990,309-5427632-5522450,Home & Kitchen,Ninja Air Fryer,2,169.88,339.76,Amazon.co.uk (UK)
102,2025-02-17T05:45:30.990,842-0019824-3059996,Electronics,Kindle Paperwhite,2,508.37,1016.73,Amazon.ca (Canada)
865,2025-02-17T13:45:30.990,412-3934167-7083813,Home & Kitchen,Keurig K-Slim Coffee Maker,1,165.16,184.32932605343288,Amazon.com (US)
608,2025-02-17T17:45:30.990,920-4426628-6584918,Electronics,Ring Video Doorbell,2,895.31,1915.009796112333,Amazon.com.au (Australia)
347,2025-02-17T17:45:30.990,291-9901394-1222344,Electronics,Echo Dot (4th Gen),2,961.01,2025.2413050147989,Amazon.ca (Canada)
889,2025-02-17T17:45:30.990,955-0211200-4219148,Electronics,Fire TV Stick 4K,1,226.38,260.36024344370225,Amazon.co.jp (Japan)
923,2025-02-17T20:45:30.990,495-2443303-3605077,Clothing,Levi's 501 Original Jeans,2,101.24,202.48,Amazon.co.uk (UK)
286,2025-02-17T21:45:30.990,709-6234682-7292520,Electronics,Ring Video Doorbell,2,792.76,1585.52,Amazon.co.uk (UK)
484,2025-02-18T00:45:30.990,493-4729037-3291334,Sports,Fitbit Charge 5,1,114.92,114.92,Amazon.co.jp (Japan)
991,2025-02-18T01:45:30.990,982-5642271-3567592,Clothing,Adidas Running Shoes,1,70.94,70.94,Amazon.com (US)
157,2025-02-18T01:45:30.990,357-9088631-5540566,Beauty,CeraVe Moisturizer,1,56.11,56.11,Amazon.com (US)
363,2025-02-18T02:45:30.990,320-1940786-1708379,Clothing,Adidas Running Shoes,2,163.1,326.21,Amazon.com (US)
334,2025-02-18T04:45:30.990,130-1273186-5584306,Clothing,Adidas Running Shoes,1,94.04,94.04,Amazon.co.jp (Japan)
755,2025-02-18T04:45:30.990,074-7630835-6797308,Beauty,Revlon One-Step Hair Dryer,2,83.98,167.96,Amazon.co.jp (Japan)
724,2025-02-18T05:45:30.990,627-8675938-7957734,Electronics,Echo Dot (4th Gen),1,1242.08,1242.08,Amazon.com (US)
792,2025-02-18T05:45:30.990,182-2033088-5841178,Sports,Fitbit Charge 5,1,21.66,21.66,Amazon.co.jp (Japan)
820,2025-02-18T10:45:30.990,462-3215134-8903199,Sports,Bowflex Adjustable Dumbbells,1,235.53,257.2366998358331,Amazon.com (US)
418,2025-02-18T10:45:30.990,634-8548069-4114233,Clothing,Columbia Fleece Jacket,1,145.77,157.03383300604068,Amazon.com (US)
939,2025-02-18T15:45:30.990,127-1250429-0842784,Books,It Ends with Us,2,40.26,84.99877331639698,Amazon.de (Germany)
50,2025-02-18T18:45:30.990,585-6832096-0801452,Clothing,Levi's 501 Original Jeans,1,178.49,211.66010336031425,Amazon.ca (Canada)
828,2025-02-18T19:45:30.990,915-8170143-0493437,Sports,Hydro Flask Water Bottle,2,111.84,245.606718529559,Amazon.com (US)
270,2025-02-18T21:45:30.990,724-7648707-9965734,Home & Kitchen,Ninja Air Fryer,1,21.72,21.72,Amazon.de (Germany)
170,2025-02-19T00:45:30.990,429-1090515-7927157,Electronics,Bose QuietComfort Earbuds,2,935.41,1870.82,Amazon.de (Germany)
743,2025-02-19T01:45:30.990,113-7855396-1266031,Electronics,Fire TV Stick 4K,1,1048.91,1048.91,Amazon.com (US)
144,2025-02-19T02:45:30.990,640-9414341-5726608,Electronics,Echo Dot (4th Gen),1,212.94,212.94,Amazon.de (Germany)
911,2025-02-19T08:45:30.990,303-1432827-3473957,Home & Kitchen,iRobot Roomba,2,34.41,68.82,Amazon.com (US)
495,2025-02-19T08:45:30.990,656-5446544-6130592,Sports,Bowflex Adjustable Dumbbells,2,103.9,207.8,Amazon.ca (Canada)
910,2025-02-19T09:45:30.990,925-5133376-6411367,Clothing,Levi's 501 Original Jeans,1,163.27,179.2604048438205,Amazon.de (Germany)
227,2025-02-19T10:45:30.990,591-8450992-9600086,Electronics,Kindle Paperwhite,2,830.01,1926.8343596339773,Amazon.co.jp (Japan)
512,2025-02-19T12:45:30.990,750-5990354-6918244,Electronics,Ring Video Doorbell,4,924.51,4107.423669666825,Amazon.co.uk (UK)
588,2025-02-19T13:45:30.990,622-1388210-2269008,Electronics,Bose QuietComfort Earbuds,1,324.12,356.7028615489577,Amazon.com (US)
185,2025-02-19T15:45:30.990,601-1447190-2544083,Home & Kitchen,Instant Pot Duo,2,178.25,423.17470715075444,Amazon.com (US)
672,2025-02-19T18:45:30.990,601-4738458-2819536,Sports,Manduka Yoga Mat,2,140.06,305.038424443695,Amazon.co.uk (UK)
692,2025-02-20T00:45:30.990,679-9084458-7532100,Home & Kitchen,iRobot Roomba,1,230.54,230.54,Amazon.com (US)
464,2025-02-20T03:45:30.990,341-2156786-0662594,Beauty,CeraVe Moisturizer,3,137.17,411.51,Amazon.co.jp (Japan)
568,2025-02-20T03:45:30.990,751-9864580-1513861,Electronics,Fire TV Stick 4K,2,874.92,1749.84,Amazon.ca (Canada)
150,2025-02-20T04:45:30.990,031-1701586-5371922,Electronics,Bose QuietComfort Earbuds,1,338.46,338.46,Amazon.de (Germany)
11,2025-02-20T05:45:30.990,523-7484003-1570936,Beauty,CeraVe Moisturizer,2,114.12,228.24,Amazon.co.uk (UK)
938,2025-02-20T09:45:30.990,011-1080965-3420046,Electronics,Kindle Paperwhite,4,1238.91,5680.833976895869,Amazon.co.uk (UK)
32,2025-02-20T11:45:30.990,512-5927953-3081548,Clothing,Adidas Running Shoes,2,143.27,324.2321011125442,Amazon.com (US)
922,2025-02-20T16:45:30.990,801-4203930-5764455,Beauty,Revlon One-Step Hair Dryer,2,28.55,66.90077947869736,Amazon.co.uk (UK)
564,2025-02-20T18:45:30.990,208-5078421-3967078,Beauty,Revlon One-Step Hair Dryer,3,56.77,190.2381312833675,Amazon.com (US)
77,2025-02-20T18:45:30.990,428-6506228-8316313,Electronics,Ring Video Doorbell,5,1333.02,7263.577747090118,Amazon.de (Germany)
511,2025-02-20T19:45:30.990,599-9007908-7592361,Clothing,Amazon Essentials T-Shirt,1,39.17,44.69941014775199,Amazon.de (Germany)
532,2025-02-20T19:45:30.990,075-7535203-9774324,Home & Kitchen,Instant Pot Duo,4,74.55,350.54377694006087,Amazon.de (Germany)
436,2025-02-20T20:45:30.990,813-5407013-4974729,Electronics,Bose QuietComfort Earbuds,3,464.81,1394.44,Amazon.co.jp (Japan)
732,2025-02-20T21:45:30.990,143-7485768-9561155,Sports,Fitbit Charge 5,2,99.58,199.17,Amazon.com (US)
56,2025-02-21T02:45:30.990,970-0948877-3885449,Electronics,Echo Dot (4th Gen),1,420.56,420.56,Amazon.de (Germany)
377,2025-02-21T03:45:30.990,136-6862662-3258306,Electronics,Kindle Paperwhite,3,206.99,620.97,Amazon.com (US)
763,2025-02-21T10:45:30.990,592-1501828-8156009,Books,The Body Keeps the Score,5,13.62,71.89007884316757,Amazon.co.uk (UK)
987,2025-02-21T11:45:30.990,008-3376752-5955400,Home & Kitchen,Instant Pot Duo,2,22.3,47.32213883970348,Amazon.de (Germany)
943,2025-02-21T11:45:30.990,284-8031761-0199378,Clothing,Columbia Fleece Jacket,1,147.19,171.72387292169594,Amazon.com (US)
742,2025-02-21T11:45:30.990,621-9045444-9664343,Sports,Coleman Camping Tent,2,194.52,439.34935253538555,Amazon.co.uk (UK)
326,2025-02-21T13:45:30.990,477-9221597-4177679,Beauty,Olaplex Hair Perfector,2,22.43,49.991938555304934,Amazon.ca (Canada)
387,2025-02-21T17:45:30.990,070-2670488-6278288,Home & Kitchen,Ninja Air Fryer,4,130.79,566.3431087106746,Amazon.co.jp (Japan)
771,2025-02-21T18:45:30.990,539-6084439-2432713,Electronics,Ring Video Doorbell,1,164.59,191.24486856161167,Amazon.com (US)
893,2025-02-21T22:45:30.990,852-1992790-4893345,Electronics,Bose QuietComfort Earbuds,4,731.19,2924.75,Amazon.ca (Canada)
754,2025-02-22T00:45:30.990,882-7063334-8549700,Home & Kitchen,Ninja Air Fryer,1,100.4,121.41602798844653,Amazon.com (US)
715,2025-02-22T03:45:30.990,291-2955075-5767447,Electronics,Fire TV Stick 4K,1,623.31,730.7912829675245,Amazon.com (US)
609,2025-02-22T05:45:30.990,264-6813562-3463749,Beauty,CeraVe Moisturizer,2,91.16,212.10890401540013,Amazon.de (Germany)
955,2025-02-22T08:45:30.990,523-4589579-6847840,Electronics,Echo Dot (4th Gen),3,888.89,3014.5254822411384,Amazon.de (Germany)
465,2025-02-22T10:45:30.990,439-6647588-9330765,Sports,Hydro Flask Water Bottle,1,100.49,120.4086748503087,Amazon.de (Germany)
379,2025-02-22T15:45:30.990,600-1690624-0020636,Beauty,Neutrogena Sunscreen,1,64.17,86.96273411554411,Amazon.co.jp (Japan)
49,2025-02-22T18:45:30.990,766-1172718-4960136,Clothing,Levi's 501 Original Jeans,1,149.01,209.84066400195903,Amazon.de (Germany)
167,2025-02-22T19:45:30.990,880-4662159-3033356,Books,The Body Keeps the Score,1,40.88,56.84752649361596,Amazon.co.jp (Japan)
67,2025-02-22T21:45:30.990,245-3908776-2569937,Electronics,Echo Dot (4th Gen),1,969.13,1124.869948694511,Amazon.de (Germany)
8,2025-02-22T21:45:30.990,588-1780053-5066934,Home & Kitchen,Lodge Cast Iron Skillet,1,105.06,122.46329593589542,Amazon.com (US)
33,2025-02-23T01:45:30.990,805-2430861-4345208,Clothing,Columbia Fleece Jacket,1,169.84,196.58156937958427,Amazon.co.uk (UK)
